blob,area,cx,cy,orientation
1,441,215.517006802721,40.2335600907029,78.0840770704105
2,441,117.517006802721,41.2335600907029,78.0840770704105
3,441,166.517006802721,41.2335600907029,78.0840770704105
4,441,69.5170068027211,42.2335600907029,78.0840770704105
5,441,70.5170068027211,82.233560090703,78.0840770704105
6,441,118.517006802721,82.233560090703,78.0840770704105
7,441,167.517006802721,82.233560090703,78.0840770704105
8,441,216.517006802721,83.233560090703,78.0840770704105
9,441,215.517006802721,118.233560090703,78.0840770704105
10,441,117.517006802721,119.233560090703,78.0840770704105
11,441,166.517006802721,119.233560090703,78.0840770704105
12,441,69.5170068027211,120.233560090703,78.0840770704105
13,441,70.5170068027211,160.233560090703,78.0840770704105
14,441,118.517006802721,160.233560090703,78.0840770704105
15,441,167.517006802721,160.233560090703,78.0840770704105
16,441,216.517006802721,161.233560090703,78.0840770704105
